"monoculture","no3","plight","litbiomass","year","month","day","dayofyear","plot","subplot","abvbiomass","totaln","exp","yearest","atissN","age","fg"
"Agropyron repens",0.176,0.0133333333,17.25,1988,7,27,208,2,5,31.25,0.025465,"e026",1985,NA,3,"C3"
"Agrostis scabra",0.273,0.8786,3,1988,7,12,193,2,8,32.55,0.02209,"e026",1985,NA,3,"C3"
"Agrostis scabra",0.163,0.86425,17,1988,7,12,193,2,11,64.25,0.024648,"e026",1985,NA,3,"C3"
"Schizachyrium scoparium",0.003,0.9254,14.275,1988,7,27,208,2,13,55.75,0.026025,"e026",1985,NA,3,"C4"
"Schizachyrium scoparium",0.013,0.915,25.75,1988,7,12,193,2,15,50.75,0.021881,"e026",1985,NA,3,"C4"
"Agropyron repens",0.089,0.8698,4.75,1988,7,27,208,2,18,33.75,0.023801,"e026",1985,NA,3,"C3"
"Agropyron repens",0.104,0.8798,3.5,1988,7,12,193,2,20,19,0.021467,"e026",1985,NA,3,"C3"
"Agropyron repens",0.229,0.9054,18.85,1988,7,12,193,2,22,37.2,0.0243,"e026",1985,NA,3,"C3"
"Agropyron repens",0.123,0.903,8,1988,7,12,193,2,23,32.5,0.02266,"e026",1985,NA,3,"C3"
"Agrostis scabra",0.146,0.22,22.5,1988,7,27,208,2,36,97.5,0.02259,"e026",1985,NA,3,"C3"
"Poa pratensis",0.273,0.906,4,1988,7,12,193,2,37,14.75,0.02287,"e026",1985,NA,3,"C3"
"Agrostis scabra",0.177,0.7935,2.675,1988,7,27,208,2,39,102.275,0.027309,"e026",1985,NA,3,"C3"
"Agrostis scabra",0.164,0.8344,1.85,1988,7,27,208,2,43,64.15,0.026188,"e026",1985,NA,3,"C3"
"Andropogon gerardi",0.057,0.298,11.5,1988,7,27,208,2,57,27.1,0.021269,"e026",1985,NA,3,"C4"
"Andropogon gerardi",0.094,0.2803333333,23.75,1988,7,27,208,2,62,42.5,0.020358,"e026",1985,NA,3,"C4"
"Schizachyrium scoparium",0.017,0.9796,14,1988,7,27,208,3,1,38.5,0.009002,"e026",1985,NA,3,"C4"
"Agrostis scabra",0.025,0.9894,11.75,1988,7,27,208,3,5,25.75,0.008325,"e026",1985,NA,3,"C3"
"Agrostis scabra",0.038,0.976,11.5,1988,7,27,208,3,7,48.25,0.00793,"e026",1985,NA,3,"C3"
"Poa pratensis",0.132,0.9848,1.25,1988,7,27,208,3,8,14.25,0.009006,"e026",1985,NA,3,"C3"
"Agropyron repens",0.096,0.9418,6,1988,7,27,208,3,9,12.75,0.00796,"e026",1985,NA,3,"C3"
"Andropogon gerardi",0.104,0.3333333333,4.5,1988,7,27,208,3,11,21.75,0.008133,"e026",1985,NA,3,"C4"
"Agropyron repens",0.116,0.9456,8.575,1988,7,27,208,3,12,47.05,0.00803,"e026",1985,NA,3,"C3"
