"rsq","level","sp"
-0.559618484805044,"2.5%","plottot"
-0.520738418804073,"15.86553%","plottot"
-0.481474362144188,"50%","plottot"
-0.440963886112445,"84.13447%","plottot"
-0.412159502832886,"97.5%","plottot"
-0.481809340738173,"mu","plottot"
-0.158848867950398,"2.5%","bmtot 2"
-0.0916658566203662,"15.86553%","bmtot 2"
-0.026546402482742,"50%","bmtot 2"
0.0364569013631664,"84.13447%","bmtot 2"
0.0805176798306526,"97.5%","bmtot 2"
-0.0280789500516113,"mu","bmtot 2"
0.137996739746547,"2.5%","bmtot 4"
0.203466927689975,"15.86553%","bmtot 4"
0.259694818591526,"50%","bmtot 4"
0.310256625102477,"84.13447%","bmtot 4"
0.350096520429064,"97.5%","bmtot 4"
0.25626230062254,"mu","bmtot 4"
-0.265470798187079,"2.5%","bmtot 8"
-0.180797596266848,"15.86553%","bmtot 8"
-0.101563807933906,"50%","bmtot 8"
-0.0324685997329646,"84.13447%","bmtot 8"
0.0278194359033961,"97.5%","bmtot 8"
-0.108154586807645,"mu","bmtot 8"
0.421600599098982,"2.5%","bmtot 16"
0.464263328570236,"15.86553%","bmtot 16"
0.504278404065638,"50%","bmtot 16"
0.542779117725367,"84.13447%","bmtot 16"
0.575590454769781,"97.5%","bmtot 16"
0.503982097659557,"mu","bmtot 16"
0.120011519320876,"2.5%","bmtotall"
0.147003047876475,"15.86553%","bmtotall"
0.177805406694544,"50%","bmtotall"
0.205587895109184,"84.13447%","bmtotall"
0.230046598336116,"97.5%","bmtotall"
0.176759125841703,"mu","bmtotall"
0.228394502704899,"2.5%","2"
0.351962921538255,"15.86553%","2"
0.423592966033954,"50%","2"
0.480261720611934,"84.13447%","2"
0.542890248847971,"97.5%","2"
0.413282414978986,"mu","2"
0.0666552268798831,"2.5%","4"
0.193134261730542,"15.86553%","4"
0.28616906940303,"50%","4"
0.35284058523177,"84.13447%","4"
0.407473380557188,"97.5%","4"
0.272077325345569,"mu","4"
-0.137675448681869,"2.5%","8"
-0.0569424337498183,"15.86553%","8"
0.0232610811339183,"50%","8"
0.0881668543640232,"84.13447%","8"
0.147140162642947,"97.5%","8"
0.0174875312508165,"mu","8"
-1.36383880650743,"2.5%","16"
-1.29781269071857,"15.86553%","16"
-1.23655822150306,"50%","16"
-1.17312697645574,"84.13447%","16"
-1.12231534767479,"97.5%","16"
-1.23704692538312,"mu","16"
