"Plot","pNSoil940_20","pCSoil940_20"
2,0.034,0.305
3,0.046,0.44
5,0.045,0.395
6,0.032,0.263
9,0.027,0.226
11,0.031,0.254
12,0.039,0.391
14,0.063,0.653
15,0.027,0.234
16,0.092,0.928
20,0.037,0.364
22,0.029,0.283
24,0.029,0.272
26,0.043,0.456
27,0.036,0.363
28,0.03,0.309
29,0.032,0.28
30,0.037,0.312
31,0.02,0.174
32,0.023,0.202
33,0.034,0.31
34,0.035,0.311
35,0.038,0.377
44,0.033,0.291
45,0.025,0.202
46,0.039,0.359
48,0.04,0.407
50,0.027,0.26
53,0.039,0.426
56,0.047,0.436
57,0.038,0.363
58,0.024,0.212
62,0.029,0.275
67,0.032,0.284
68,0.04,0.389
69,0.033,0.305
70,0.035,0.336
73,0.058,0.62
74,0.038,0.38
75,0.036,0.36
81,0.031,0.31
82,0.032,0.325
83,0.043,0.471
87,0.045,0.498
89,0.049,0.514
92,0.046,0.497
93,0.032,0.307
94,0.032,0.409
98,0.045,0.474
104,0.041,0.408
107,0.023,0.213
108,0.039,0.437
109,0.028,0.276
110,0.032,0.335
111,0.044,0.47
115,0.04,0.46
117,0.033,0.357
118,0.034,0.353
125,0.029,0.329
127,0.032,0.351
129,0.038,0.467
130,0.053,0.596
133,0.027,0.268
135,0.032,0.381
136,0.041,0.513
137,0.036,0.43
138,0.044,0.568
139,0.037,0.412
142,0.04,0.497
146,0.044,0.582
149,0.042,0.533
151,0.035,0.379
153,0.037,0.433
156,0.033,0.413
157,0.044,0.502
160,0.029,0.391
161,0.03,0.347
163,0.041,0.518
164,0.034,0.436
165,0.054,0.659
167,0.025,0.362
168,0.038,0.483
169,0.029,0.394
170,0.036,0.446
171,0.034,0.438
174,0.036,0.465
175,0.04,0.488
176,0.056,0.741
177,0.044,0.529
178,0.063,0.859
185,0.044,0.564
186,0.05,0.638
189,0.033,0.43
190,0.044,0.547
193,0.031,0.43
197,0.041,0.546
199,0.044,0.568
201,0.048,0.627
202,0.067,0.911
205,0.051,0.68
206,0.05,0.838
208,0.045,0.568
210,0.035,0.471
211,0.043,0.551
213,0.032,0.387
220,0.026,0.34
221,0.04,0.527
223,0.035,0.44
224,0.041,0.572
225,0.04,0.548
227,0.039,0.507
229,0.039,0.5
230,0.038,0.443
232,0.063,0.841
233,0.074,0.958
234,0.048,0.604
235,0.044,0.554
236,0.026,0.429
237,0.054,0.702
239,0.043,0.591
242,0.028,0.44
253,0.03,0.429
255,0.034,0.455
256,0.03,0.598
257,0.041,0.596
259,0.04,0.512
265,0.048,0.59
266,0.032,0.448
267,0.073,0.936
268,0.056,0.781
272,0.037,0.464
273,0.091,1.244
278,0.03,0.367
280,0.034,0.438
282,0.032,0.479
283,0.033,0.427
286,0.037,0.451
287,0.034,0.406
290,0.039,0.494
291,0.042,0.539
292,0.041,0.556
293,0.042,0.577
296,0.037,0.475
299,0.041,0.455
300,0.039,0.468
301,0.029,0.387
302,0.031,0.424
303,0.038,0.487
304,0.051,0.652
307,0.037,0.505
308,0.031,0.432
311,0.037,0.498
313,0.037,0.501
318,0.033,0.491
322,0.021,0.321
324,0.032,0.401
325,0.031,0.453
328,0.033,0.423
329,0.034,0.468
330,0.035,0.44
331,0.032,0.459
333,0.035,0.433
334,0.051,0.643
335,0.039,0.482
336,0.033,0.466
338,0.031,0.409
339,0.03,0.419
342,0.032,0.415
