monoculture,no3,plight,litbiomass,year,month,day,dayofyear,plot,subplot,abvbiomass,totaln,exp,yearest,atissN,age,fg
Agropyron repens,NA,NA,NA,1985,NA,NA,NA,1,4,NA,0.088656,e026,1985,NA,0,C3
Agrostis scabra,NA,NA,NA,1985,NA,NA,NA,1,8,NA,0.080542,e026,1985,NA,0,C3
Agrostis scabra,NA,NA,NA,1985,NA,NA,NA,1,9,NA,0.105603,e026,1985,NA,0,C3
Poa pratensis,NA,NA,NA,1985,NA,NA,NA,1,10,NA,0.09024,e026,1985,NA,0,C3
Agrostis scabra,NA,NA,NA,1985,NA,NA,NA,1,15,NA,0.088833,e026,1985,NA,0,C3
Andropogon gerardi,NA,NA,NA,1985,NA,NA,NA,1,22,NA,0.089698,e026,1985,NA,0,C4
Agropyron repens,NA,NA,NA,1985,NA,NA,NA,1,23,NA,0.087801,e026,1985,NA,0,C3
Agropyron repens,NA,NA,NA,1985,NA,NA,NA,1,25,NA,0.090693,e026,1985,NA,0,C3
Agropyron repens,NA,NA,NA,1985,NA,NA,NA,1,30,NA,0.087835,e026,1985,NA,0,C3
Poa pratensis,NA,NA,NA,1985,NA,NA,NA,1,33,NA,0.087365,e026,1985,NA,0,C3
Poa pratensis,NA,NA,NA,1985,NA,NA,NA,1,34,NA,0.096605,e026,1985,NA,0,C3
Agrostis scabra,NA,NA,NA,1985,NA,NA,NA,1,36,NA,0.076935,e026,1985,NA,0,C3
Agropyron repens,NA,NA,NA,1985,NA,NA,NA,1,37,NA,0.09187,e026,1985,NA,0,C3
Agrostis scabra,NA,NA,NA,1985,NA,NA,NA,1,41,NA,0.095879,e026,1985,NA,0,C3
Agrostis scabra,NA,NA,NA,1985,NA,NA,NA,1,43,NA,0.074105,e026,1985,NA,0,C3
Agrostis scabra,NA,NA,NA,1985,NA,NA,NA,1,44,NA,0.079276,e026,1985,NA,0,C3
Schizachyrium scoparium,NA,NA,NA,1985,NA,NA,NA,1,53,NA,0.077572,e026,1985,NA,0,C4
Agrostis scabra,NA,NA,NA,1985,NA,NA,NA,1,54,NA,0.063028,e026,1985,NA,0,C3
Schizachyrium scoparium,NA,NA,NA,1985,NA,NA,NA,1,55,NA,0.070053,e026,1985,NA,0,C4
Schizachyrium scoparium,NA,NA,NA,1985,NA,NA,NA,1,56,NA,0.061732,e026,1985,NA,0,C4
Andropogon gerardi,NA,NA,NA,1985,NA,NA,NA,1,63,NA,0.062583,e026,1985,NA,0,C4
Agropyron repens,NA,NA,NA,1985,NA,NA,NA,2,5,NA,0.025465,e026,1985,NA,0,C3
Agrostis scabra,NA,NA,NA,1985,NA,NA,NA,2,8,NA,0.02209,e026,1985,NA,0,C3
Schizachyrium scoparium,NA,NA,NA,1985,NA,NA,NA,2,10,NA,0.025594,e026,1985,NA,0,C4
Agrostis scabra,NA,NA,NA,1985,NA,NA,NA,2,11,NA,0.024648,e026,1985,NA,0,C3
Schizachyrium scoparium,NA,NA,NA,1985,NA,NA,NA,2,13,NA,0.026025,e026,1985,NA,0,C4
Schizachyrium scoparium,NA,NA,NA,1985,NA,NA,NA,2,15,NA,0.021881,e026,1985,NA,0,C4
Agropyron repens,NA,NA,NA,1985,NA,NA,NA,2,18,NA,0.023801,e026,1985,NA,0,C3
Agropyron repens,NA,NA,NA,1985,NA,NA,NA,2,20,NA,0.021467,e026,1985,NA,0,C3
Agropyron repens,NA,NA,NA,1985,NA,NA,NA,2,22,NA,0.0243,e026,1985,NA,0,C3
Agropyron repens,NA,NA,NA,1985,NA,NA,NA,2,23,NA,0.02266,e026,1985,NA,0,C3
Agrostis scabra,NA,NA,NA,1985,NA,NA,NA,2,34,NA,0.02621,e026,1985,NA,0,C3
Agrostis scabra,NA,NA,NA,1985,NA,NA,NA,2,36,NA,0.02259,e026,1985,NA,0,C3
Poa pratensis,NA,NA,NA,1985,NA,NA,NA,2,37,NA,0.02287,e026,1985,NA,0,C3
Poa pratensis,NA,NA,NA,1985,NA,NA,NA,2,38,NA,0.024048,e026,1985,NA,0,C3
Agrostis scabra,NA,NA,NA,1985,NA,NA,NA,2,39,NA,0.027309,e026,1985,NA,0,C3
Poa pratensis,NA,NA,NA,1985,NA,NA,NA,2,42,NA,0.025552,e026,1985,NA,0,C3
Agrostis scabra,NA,NA,NA,1985,NA,NA,NA,2,43,NA,0.026188,e026,1985,NA,0,C3
Agrostis scabra,NA,NA,NA,1985,NA,NA,NA,2,54,NA,0.022721,e026,1985,NA,0,C3
Agrostis scabra,NA,NA,NA,1985,NA,NA,NA,2,56,NA,0.02104,e026,1985,NA,0,C3
Andropogon gerardi,NA,NA,NA,1985,NA,NA,NA,2,57,NA,0.021269,e026,1985,NA,0,C4
Andropogon gerardi,NA,NA,NA,1985,NA,NA,NA,2,62,NA,0.020358,e026,1985,NA,0,C4
Schizachyrium scoparium,NA,NA,NA,1985,NA,NA,NA,3,1,NA,0.009002,e026,1985,NA,0,C4
Agrostis scabra,NA,NA,NA,1985,NA,NA,NA,3,5,NA,0.008325,e026,1985,NA,0,C3
Agrostis scabra,NA,NA,NA,1985,NA,NA,NA,3,7,NA,0.00793,e026,1985,NA,0,C3
Poa pratensis,NA,NA,NA,1985,NA,NA,NA,3,8,NA,0.009006,e026,1985,NA,0,C3
Agropyron repens,NA,NA,NA,1985,NA,NA,NA,3,9,NA,0.00796,e026,1985,NA,0,C3
Andropogon gerardi,NA,NA,NA,1985,NA,NA,NA,3,11,NA,0.008133,e026,1985,NA,0,C4
Agropyron repens,NA,NA,NA,1985,NA,NA,NA,3,12,NA,0.00803,e026,1985,NA,0,C3
Agropyron repens,NA,NA,NA,1985,NA,NA,NA,3,13,NA,0.00783,e026,1985,NA,0,C3
Agrostis scabra,NA,NA,NA,1985,NA,NA,NA,3,23,NA,0.007622,e026,1985,NA,0,C3
Agrostis scabra,NA,NA,NA,1985,NA,NA,NA,3,30,NA,0.007894,e026,1985,NA,0,C3
Agrostis scabra,NA,NA,NA,1985,NA,NA,NA,3,31,NA,0.007602,e026,1985,NA,0,C3
Agrostis scabra,NA,NA,NA,1985,NA,NA,NA,3,32,NA,0.00807,e026,1985,NA,0,C3
Agropyron repens,NA,NA,NA,1985,NA,NA,NA,3,33,NA,0.008424,e026,1985,NA,0,C3
Andropogon gerardi,NA,NA,NA,1985,NA,NA,NA,3,36,NA,0.008407,e026,1985,NA,0,C4
Poa pratensis,NA,NA,NA,1985,NA,NA,NA,3,37,NA,0.009341,e026,1985,NA,0,C3
Schizachyrium scoparium,NA,NA,NA,1985,NA,NA,NA,3,38,NA,0.009353,e026,1985,NA,0,C4
Poa pratensis,NA,NA,NA,1985,NA,NA,NA,3,40,NA,0.010684,e026,1985,NA,0,C3
Schizachyrium scoparium,NA,NA,NA,1985,NA,NA,NA,3,50,NA,0.010925,e026,1985,NA,0,C4
Agrostis scabra,NA,NA,NA,1985,NA,NA,NA,3,51,NA,0.011824,e026,1985,NA,0,C3
Agrostis scabra,NA,NA,NA,1985,NA,NA,NA,3,52,NA,0.012725,e026,1985,NA,0,C3
Agropyron repens,NA,NA,NA,1985,NA,NA,NA,3,57,NA,0.008772,e026,1985,NA,0,C3
Poa pratensis,NA,NA,NA,1985,NA,NA,NA,4,1,NA,0.039987,e026,1985,NA,0,C3
Agrostis scabra,NA,NA,NA,1985,NA,NA,NA,4,5,NA,0.052483,e026,1985,NA,0,C3
